subject,total_frames,scrubbed_frames,pct_scrubbed
102,1005,12,1.1940298507462686
103,1005,126,12.537313432835822
104,1005,186,18.507462686567163
105,1005,3,0.2985074626865671
106,1005,32,3.18407960199005
107,670,24,3.582089552238806
108,1005,22,2.189054726368159
109,1005,12,1.1940298507462686
110,1005,305,30.34825870646766
111,1005,4,0.3980099502487562
112,1005,0,0.0
113,670,16,2.388059701492537
115,1005,0,0.0
116,1005,3,0.2985074626865671
117,1005,12,1.1940298507462686
118,1005,7,0.6965174129353234
119,1005,97,9.651741293532336
120,1005,46,4.577114427860696
121,1005,21,2.08955223880597
122,1005,51,5.074626865671642
123,1005,5,0.4975124378109453
124,1005,0,0.0
125,335,6,1.791044776119403
126,670,2,0.2985074626865671
127,1005,45,4.477611940298507
129,1005,24,2.388059701492537
130,1005,33,3.283582089552239
131,1005,0,0.0
201,335,0,0.0
202,1005,0,0.0
204,1005,5,0.4975124378109453
205,1005,8,0.7960199004975125
206,1005,32,3.18407960199005
207,1005,135,13.432835820895525
208,335,11,3.283582089552239
209,670,29,4.328358208955224
210,1005,31,3.084577114427861
211,1005,115,11.442786069651742
212,335,15,4.477611940298507
213,1005,66,6.567164179104478
214,1005,1,0.099502487562189
215,1005,2,0.1990049751243781
217,1005,81,8.059701492537313
218,1005,13,1.2935323383084578
219,670,15,2.238805970149253
220,1005,1,0.099502487562189
221,1005,0,0.0
222,1005,1,0.099502487562189
223,1005,23,2.288557213930348
224,1005,13,1.2935323383084578
225,1005,0,0.0
226,1005,28,2.7860696517412937
227,1005,0,0.0
228,1005,5,0.4975124378109453
229,1005,0,0.0
230,1005,1,0.099502487562189
