block_list,fix_dur,target_dur,isi_dur,probe_dur,iti_dur,stim_size,target_list,probe_L,probe_R,correct_resp,condStim,condDur,condOrient,upright_flag,inverted_flag,blocks_practice.thisRepN,blocks_practice.thisTrialN,blocks_practice.thisN,blocks_practice.thisIndex,trials_practice_up.thisRepN,trials_practice_up.thisTrialN,trials_practice_up.thisN,trials_practice_up.thisIndex,trials_practice_inv.thisRepN,trials_practice_inv.thisTrialN,trials_practice_inv.thisN,trials_practice_inv.thisIndex,blocks_order.thisRepN,blocks_order.thisTrialN,blocks_order.thisN,blocks_order.thisIndex,trials_upright.thisRepN,trials_upright.thisTrialN,trials_upright.thisN,trials_upright.thisIndex,trials_inverted.thisRepN,trials_inverted.thisTrialN,trials_inverted.thisN,trials_inverted.thisIndex,thisRow.t,notes,Start.started,Start.stopped,instrPractice.started,key_resp_practice.started,instrPractice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,getReady.started,getReady.stopped,Fixation.started,text_fixation.started,text_fixation.stopped,Fixation.stopped,EncodingUpright.started,orient,image_target_upright.started,image_target_upright.stopped,EncodingUpright.stopped,ISI.started,isi_jittered,text_isi.started,text_isi.stopped,ISI.stopped,ProbeUpPractice.started,image_probePrac_up_left.started,image_probePrace_up_right.started,key_resp_up_prac.started,image_probePrac_up_left.stopped,image_probePrace_up_right.stopped,key_resp_up_prac.stopped,ProbeUpPractice.stopped,key_resp_up_prac.keys,key_resp_up_prac.corr,key_resp_up_prac.rt,key_resp_up_prac.duration,ITI.started,iti_jittered,text_iti.started,text_iti.stopped,ITI.stopped,EncodingInverted.started,image_target_inverted.started,image_target_inverted.stopped,EncodingInverted.stopped,ProbeInvPractice.started,image_probePrac_inv_left.started,image_probePrace_inv_right.started,key_resp_inv_prac.started,image_probePrac_inv_left.stopped,image_probePrace_inv_right.stopped,key_resp_inv_prac.stopped,ProbeInvPractice.stopped,key_resp_inv_prac.keys,key_resp_inv_prac.corr,key_resp_inv_prac.rt,key_resp_inv_prac.duration,FB_Practice.started,key_resp_endPractice.started,FB_Practice.stopped,key_resp_endPractice.keys,key_resp_endPractice.rt,key_resp_endPractice.duration,ProbeUpright.started,image_probe_upright_left.started,image_probe_upright_right.started,key_resp_upright.started,image_probe_upright_left.stopped,image_probe_upright_right.stopped,key_resp_upright.stopped,ProbeUpright.stopped,key_resp_upright.keys,key_resp_upright.corr,key_resp_upright.rt,key_resp_upright.duration,IBI.started,text_ibi.started,IBI.stopped,ProbeInverted.started,image_probe_inverted_left.started,image_probe_inverted_right.started,key_resp_inverted.started,image_probe_inverted_left.stopped,image_probe_inverted_right.stopped,key_resp_inverted.stopped,ProbeInverted.stopped,key_resp_inverted.keys,key_resp_inverted.corr,key_resp_inverted.rt,key_resp_inverted.duration,ThankYou.started,text_thanks.started,ThankYou.stopped,participant,session,order,EEG,EyeLink,EyeTribe,Calibrate,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007697977009229362,0.010337932006223127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010390412004198879,0.026374997018137947,2.0641265099984594,space,2.0290332290169317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
stimuli/practice_stimuli.csv,0.5,5,0.5,3,0.5,0.41,stimuli/inverted_faces/M125.png,stimuli/inverted_faces/M125morph.png,stimuli/inverted_faces/M125.png,2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,7.084103793022223,,,,,,,,,,2.075047888007248,7.064354230009485,7.074399620003533,7.084103793022223,7.613698166998802,7.5813941820233595,7.5814329130225815,upright,7.613698166998802,12.614622909022728,12.598502021020977,12.598564278014237,0.6851236083947154,12.614622909022728,13.323775976023171,13.298143853025977,13.298183412000071,13.323775976023171,13.323775976023171,13.323775976023171,16.3297905230138,16.3297905230138,16.3297905230138,16.314392116997624,left,0,14.146472820022609,0.11443108299863525,16.318201669026166,0.7452336401924872,16.3297905230138,17.129352643009042,17.064468311000383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
stimuli/practice_stimuli.csv,0.5,5,0.5,3,0.5,0.41,stimuli/inverted_faces/F10.png,stimuli/inverted_faces/F10morph.png,stimuli/inverted_faces/F10.png,2,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,17.129352643009042,,,,,,,,,,,,17.122899563022656,17.129352643009042,17.636018925026292,17.614972644019872,,inverted,,,,22.632928153005196,0.5466067757624922,22.64750253301463,23.210281417006627,23.182468621002045,,,,,,,,,,,,,26.19988118999754,0.7042276230671047,26.214016323006945,26.99139361199923,26.913154527021106,17.615028075000737,17.636018925026292,22.64750253301463,22.632891271001427,23.182507085002726,23.210281417006627,23.210281417006627,23.210281417006627,26.214016323006945,26.214016323006945,26.214016323006945,26.19887217800715,right,0,24.144709147018148,0.1258935210062191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95573695001076,26.99139361199923,31.766961453016847,space,31.748273598001106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.76701872801641,36.764085850008996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M28.png,stimuli/inverted_faces/M28morph.png,stimuli/inverted_faces/M28.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,26,,,,,36.81220489900443,,,,,,,,,,,,36.79475911401096,36.81220489900443,36.81220489900443,36.79550179000944,36.795525029010605,upright,36.81220489900443,37.31279328101664,37.297348156018415,37.29737908800598,0.543852232216535,37.31279328101664,37.876701832021354,37.84826235100627,,,,,,,,,,,,,40.86635751402355,1.0847620539856426,40.87988173501799,41.988811344024725,41.96532008200302,,,,,,,,,,,,,,,,,,,,,,,37.848301331017865,37.876701832021354,37.876701832021354,37.876701832021354,40.87988173501799,40.87988173501799,40.87988173501799,40.86529428200447,right,0,38.493582385999616,0.14524032099870965,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F16.png,stimuli/inverted_faces/F16morph.png,stimuli/inverted_faces/F16.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,1,1,14,,,,,41.988811344024725,,,,,,,,,,,,41.96618077301537,41.988811344024725,41.988811344024725,41.967813561001094,41.96786791700288,upright,41.988811344024725,42.496530841017375,42.48156521402416,42.481620974023826,0.5440660292075026,42.496530841017375,43.05720324401045,43.03193683701102,,,,,,,,,,,,,46.048885469004745,1.1461609572246563,46.062653334025526,47.21655013001873,47.198020808020374,,,,,,,,,,,,,,,,,,,,,,,43.031992490025004,43.05720324401045,43.05720324401045,43.05720324401045,46.062653334025526,46.062653334025526,46.062653334025526,46.04819875000976,right,0,43.87723126501078,0.14165964900166728,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M128.png,stimuli/inverted_faces/M128morph.png,stimuli/inverted_faces/M128.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,2,2,21,,,,,47.21655013001873,,,,,,,,,,,,47.198523234023014,47.21655013001873,47.21655013001873,47.19921531699947,47.199243587005185,upright,47.21655013001873,47.729463353025494,47.71372513400274,47.7137605099997,0.5660784739999833,47.729463353025494,48.306875372014474,48.28177479701117,,,,,,,,,,,,,51.29688363900641,1.2502210964576723,51.312941765005235,52.56842990699806,52.54749448300572,,,,,,,,,,,,,,,,,,,,,,,48.28183364402503,48.306875372014474,48.306875372014474,48.306875372014474,51.312941765005235,51.312941765005235,51.312941765005235,51.296602084010374,right,0,48.94582044801791,0.14252122098696418,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F13.png,stimuli/inverted_faces/F13.png,stimuli/inverted_faces/F13morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,52.56842990699806,,,,,,,,,,,,52.54838305001613,52.56842990699806,52.56842990699806,52.54932310900767,52.549358312011464,upright,52.56842990699806,53.07927518201177,53.06389702402521,53.06393232301343,0.5393505366436442,53.07927518201177,53.6321742029977,53.61256474800757,,,,,,,,,,,,,56.63300846601487,1.032402910724432,56.646410369023215,57.68452776002232,57.66486785601592,,,,,,,,,,,,,,,,,,,,,,,53.61258796401671,53.6321742029977,53.6321742029977,53.6321742029977,56.646410369023215,56.646410369023215,56.646410369023215,56.631942626001546,left,0,54.21973321400583,0.13825601700227708,,,,,,,,,,,,,,,,,,,001,1,1,False,False,False,False,2025-01-21_10h30.07.108,inversion_effect,2024.1.0,None,2025-01-21 10h30.14.482682 -0800,
