block_list,fix_dur,target_dur,isi_dur,probe_dur,iti_dur,stim_size,target_list,probe_L,probe_R,correct_resp,condStim,condDur,condOrient,upright_flag,inverted_flag,blocks_practice.thisRepN,blocks_practice.thisTrialN,blocks_practice.thisN,blocks_practice.thisIndex,trials_practice_up.thisRepN,trials_practice_up.thisTrialN,trials_practice_up.thisN,trials_practice_up.thisIndex,trials_practice_inv.thisRepN,trials_practice_inv.thisTrialN,trials_practice_inv.thisN,trials_practice_inv.thisIndex,blocks_order.thisRepN,blocks_order.thisTrialN,blocks_order.thisN,blocks_order.thisIndex,trials_upright.thisRepN,trials_upright.thisTrialN,trials_upright.thisN,trials_upright.thisIndex,trials_inverted.thisRepN,trials_inverted.thisTrialN,trials_inverted.thisN,trials_inverted.thisIndex,thisRow.t,notes,Start.started,Start.stopped,instrPractice.started,key_resp_practice.started,instrPractice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,getReady.started,getReady.stopped,Fixation.started,text_fixation.started,text_fixation.stopped,Fixation.stopped,EncodingUpright.started,orient,image_target_upright.started,image_target_upright.stopped,EncodingUpright.stopped,ISI.started,isi_jittered,text_isi.started,text_isi.stopped,ISI.stopped,ProbeUpPractice.started,image_probePrac_up_left.started,image_probePrace_up_right.started,key_resp_up_prac.started,image_probePrac_up_left.stopped,image_probePrace_up_right.stopped,key_resp_up_prac.stopped,ProbeUpPractice.stopped,key_resp_up_prac.keys,key_resp_up_prac.corr,key_resp_up_prac.rt,key_resp_up_prac.duration,ITI.started,iti_jittered,text_iti.started,text_iti.stopped,ITI.stopped,EncodingInverted.started,image_target_inverted.started,image_target_inverted.stopped,EncodingInverted.stopped,ProbeInvPractice.started,image_probePrac_inv_left.started,image_probePrace_inv_right.started,key_resp_inv_prac.started,image_probePrac_inv_left.stopped,image_probePrace_inv_right.stopped,key_resp_inv_prac.stopped,ProbeInvPractice.stopped,key_resp_inv_prac.keys,key_resp_inv_prac.corr,FB_Practice.started,key_resp_endPractice.started,FB_Practice.stopped,key_resp_endPractice.keys,key_resp_endPractice.rt,key_resp_endPractice.duration,ProbeUpright.started,image_probe_upright_left.started,image_probe_upright_right.started,key_resp_upright.started,image_probe_upright_left.stopped,image_probe_upright_right.stopped,key_resp_upright.stopped,ProbeUpright.stopped,key_resp_upright.keys,key_resp_upright.corr,key_resp_upright.rt,key_resp_upright.duration,IBI.started,text_ibi.started,IBI.stopped,ProbeInverted.started,image_probe_inverted_left.started,image_probe_inverted_right.started,key_resp_inverted.started,image_probe_inverted_left.stopped,image_probe_inverted_right.stopped,key_resp_inverted.stopped,ProbeInverted.stopped,key_resp_inverted.keys,key_resp_inverted.corr,key_resp_inverted.rt,key_resp_inverted.duration,ThankYou.started,text_thanks.started,ThankYou.stopped,participant,session,order,EEG,EyeLink,EyeTribe,Calibrate,date,expName,psychopyVersion,frameRate,expStart,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M123.png,stimuli/inverted_faces/M123morph.png,stimuli/inverted_faces/M123.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,4,4,18,,,,,79.93977300007828,,,,,,,,,,,,79.93087360006757,79.93977300007828,79.93977300007828,79.93108660005964,79.93109720002394,upright,79.93977300007828,80.43065870006103,80.42273300001398,80.42275060003158,0.6257717844446021,80.43065870006103,81.0521093000425,81.03952520003077,,,,,,,,,,,,,84.03966210002545,1.089864632065797,84.04742860002443,85.1329825000139,85.12320869998075,,,,,,,,,,,,,,,,,,,,,81.03954470006283,81.0521093000425,81.0521093000425,81.0521093000425,84.04742860002443,84.04742860002443,84.04742860002443,84.03947710001376,right,0,82.23557530005928,0.14414039999246597,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M119.png,stimuli/inverted_faces/M119morph.png,stimuli/inverted_faces/M119.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,5,5,17,,,,,85.1329825000139,,,,,,,,,,,,85.12347830005456,85.1329825000139,85.1329825000139,85.12371950002853,85.12373130000196,upright,85.1329825000139,85.6313889999874,85.62363899999764,85.62366140005179,0.6070219123891399,85.6313889999874,86.23500750004314,86.2233124000486,,,,,,,,,,,,,89.22418530005962,1.2530905970611568,89.23177210008726,90.48460820002947,90.47422039997764,,,,,,,,,,,,,,,,,,,,,86.22332850005478,86.23500750004314,86.23500750004314,86.23500750004314,89.23177210008726,89.23177210008726,89.23177210008726,89.22388860001229,left,0,88.3722368000308,0.14323150005657226,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M122.png,stimuli/inverted_faces/M122.png,stimuli/inverted_faces/M122morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,6,6,8,,,,,90.48460820002947,,,,,,,,,,,,90.47453770006541,90.48460820002947,90.48460820002947,90.47481970000081,90.47483329998795,upright,90.48460820002947,90.98195739998482,90.97454850003123,90.97456990007777,0.6823480653668786,90.98195739998482,91.66137370001525,91.64940039999783,,,,,,,,,,,,,94.65009430004284,1.064807634158473,94.65757670009043,95.71913009998389,95.70838990004268,,,,,,,,,,,,,,,,,,,,,91.6494173000101,91.66137370001525,91.66137370001525,91.66137370001525,94.65757670009043,94.65757670009043,94.65757670009043,94.64977260003798,left,0,92.64352460007649,0.1450442000059411,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M126.png,stimuli/inverted_faces/M126.png,stimuli/inverted_faces/M126morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,7,7,9,,,,,95.71913009998389,,,,,,,,,,,,95.70876589999534,95.71913009998389,95.71913009998389,95.70911769999657,95.70913309999742,upright,95.71913009998389,96.21640899998602,96.20851899997797,96.20854020002298,0.5044370631364818,96.21640899998602,96.71938400005456,96.70811120001599,,,,,,,,,,,,,99.70911210007034,1.272920035344768,99.71654870000202,101.04604610009119,100.97582120005973,,,,,,,,,,,,,,,,,,,,,96.70812710002065,96.71938400005456,96.71938400005456,96.71938400005456,99.71654870000202,99.71654870000202,99.71654870000202,99.70886440004688,right,0,98.5320637000259,0.15139709995128214,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M22.png,stimuli/inverted_faces/M22morph.png,stimuli/inverted_faces/M22.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,8,8,24,,,,,101.04604610009119,,,,,,,,,,,,100.97617710009217,101.04604610009119,101.04604610009119,100.97648040007334,100.97649430006277,upright,101.04604610009119,101.54196300008334,101.53443950007204,101.53446290001739,0.6030382231074177,101.54196300008334,102.14611189998686,102.1340839000186,,,,,,,,,,,,,105.13524169998709,1.2325574864416495,105.14253299997654,106.37066430004779,106.35966489999555,,,,,,,,,,,,,,,,,,,,,102.13409990002401,102.14611189998686,102.14611189998686,102.14611189998686,105.14253299997654,105.14253299997654,105.14253299997654,105.13484950002749,right,0,102.91563770000357,0.18387260008603334,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F12.png,stimuli/inverted_faces/F12.png,stimuli/inverted_faces/F12morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,9,9,2,,,,,106.37066430004779,,,,,,,,,,,,106.35997450002469,106.37066430004779,106.37066430004779,106.36023510002997,106.3602463999996,upright,106.37066430004779,106.86781229998451,106.8602024000138,106.8602234000573,0.5114090258274935,106.86781229998451,107.38003940007184,107.36818580003455,,,,,,,,,,,,,110.36896100000013,1.2546828423303609,110.37648059998173,111.62807129998691,111.61879610002507,,,,,,,,,,,,,,,,,,,,,107.36820450006053,107.38003940007184,107.38003940007184,107.38003940007184,110.37648059998173,110.37648059998173,110.37648059998173,110.3686757000396,left,0,108.02732890006155,0.1444356000283733,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M35.png,stimuli/inverted_faces/M35.png,stimuli/inverted_faces/M35morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,10,10,13,,,,,111.62807129998691,,,,,,,,,,,,111.61906010005623,111.62807129998691,111.62807129998691,111.61929810000584,111.61930930009112,upright,111.62807129998691,112.11862510000356,112.11096249998081,112.1109856000403,0.6050351542610346,112.11862510000356,112.72121410002,112.71027869998943,,,,,,,,,,,,,115.71155430004,1.1351785669100987,115.71904320002068,116.85887650004588,116.84475350007415,,,,,,,,,,,,,,,,,,,,,112.71029090008233,112.72121410002,112.72121410002,112.72121410002,115.71904320002068,115.71904320002068,115.71904320002068,115.71119050006382,left,0,113.33299680007622,0.13492999994195998,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F7.png,stimuli/inverted_faces/F7.png,stimuli/inverted_faces/F7morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,11,11,6,,,,,116.85887650004588,,,,,,,,,,,,116.84508600004483,116.85887650004588,116.85887650004588,116.8453663000837,116.84537960006855,upright,116.85887650004588,117.35257920005824,117.34519920009188,117.34522600006312,0.6317934833313039,117.35257920005824,117.98185089998879,117.96996310004033,,,,,,,,,,,,,120.97059959999751,1.1300333300933103,120.97807910002302,122.10505770007148,122.09530280006584,,,,,,,,,,,,,,,,,,,,,117.96998170006555,117.98185089998879,117.98185089998879,117.98185089998879,120.97807910002302,120.97807910002302,120.97807910002302,120.97025200002827,left,0,118.5476411000127,0.15197620005346835,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M21.png,stimuli/inverted_faces/M21.png,stimuli/inverted_faces/M21morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,12,12,11,,,,,122.10505770007148,,,,,,,,,,,,122.09562260005623,122.10505770007148,122.10505770007148,122.09588020003866,122.09589210001286,upright,122.10505770007148,122.60360070003662,122.59607480000705,122.59609810006805,0.5815817512621813,122.60360070003662,123.18475640006363,123.1706828000024,,,,,,,,,,,,,126.17153310007416,1.1805373536259216,126.17885230004322,127.35373620002065,127.3463357000146,,,,,,,,,,,,,,,,,,,,,123.17070840008091,123.18475640006363,123.18475640006363,123.18475640006363,126.17885230004322,126.17885230004322,126.17885230004322,126.17120029998478,left,0,123.74816160008777,0.1600768999196589,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F10.png,stimuli/inverted_faces/F10.png,stimuli/inverted_faces/F10morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,13,13,0,,,,,127.35373620002065,,,,,,,,,,,,127.3467189000221,127.35373620002065,127.35373620002065,127.3470234000124,127.34703830000944,upright,127.35373620002065,127.84582400007639,127.83819390006829,127.83821389998775,0.6095981550354819,127.84582400007639,128.45463639998343,128.4462923000101,,,,,,,,,,,,,131.43897160002962,1.0944226104939754,131.44655770005193,132.54240130004473,132.53050130000338,,,,,,,,,,,,,,,,,,,,,128.44630640000105,128.45463639998343,128.45463639998343,128.45463639998343,131.44655770005193,131.44655770005193,131.44655770005193,131.43865850009024,left,0,129.04336810007226,0.16008719999808818,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
