target_list,probe_L,probe_R,correct_resp,n,key_resp_upright.corr_mean,key_resp_upright.corr_raw,key_resp_upright.corr_std,key_resp_upright.duration_mean,key_resp_upright.duration_raw,key_resp_upright.duration_std,key_resp_upright.keys_raw,key_resp_upright.rt_mean,key_resp_upright.rt_raw,key_resp_upright.rt_std,order
stimuli/inverted_faces/M25.png,stimuli/inverted_faces/M25morph.png,stimuli/inverted_faces/M25.png,2,1.0,0.0,0.0,0.0,0.2006838023662567,0.2006838023662567,0.0,'right',140.52346801757812,140.52346801757812,0.0,15.0
stimuli/inverted_faces/M28.png,stimuli/inverted_faces/M28morph.png,stimuli/inverted_faces/M28.png,2,1.0,0.0,0.0,0.0,0.1359792947769165,0.1359792947769165,0.0,'left',191.95599365234375,191.95599365234375,0.0,25.0
stimuli/inverted_faces/M31.png,stimuli/inverted_faces/M31morph.png,stimuli/inverted_faces/M31.png,2,1.0,0.0,0.0,0.0,0.11204840242862701,0.11204840242862701,0.0,'left',71.29960632324219,71.29960632324219,0.0,2.0

extraInfo
participant,P002
session,1
order,2
EEG,False
EyeLink,False
EyeTribe,False
Calibrate,False
date,2025-02-11_15h51.37.847
expName,inversion_effect
psychopyVersion,2024.1.0
frameRate,None
expStart,2025-02-11 15h52.00.114992 -0800
﻿target_list,probe_L,probe_R,correct_resp,n,key_resp_upright.corr_mean,key_resp_upright.corr_raw,key_resp_upright.corr_std,key_resp_upright.duration_mean,key_resp_upright.duration_raw,key_resp_upright.duration_std,key_resp_upright.keys_raw,key_resp_upright.rt_mean,key_resp_upright.rt_raw,key_resp_upright.rt_std,order
stimuli/inverted_faces/F10.png,stimuli/inverted_faces/F10.png,stimuli/inverted_faces/F10morph.png,1,1.0,0.0,0.0,0.0,0.14393630623817444,0.14393630623817444,0.0,'left',811.3240966796875,811.3240966796875,0.0,18.0
stimuli/inverted_faces/F11.png,stimuli/inverted_faces/F11.png,stimuli/inverted_faces/F11morph.png,1,1.0,0.0,0.0,0.0,0.15214529633522034,0.15214529633522034,0.0,'left',752.5799560546875,752.5799560546875,0.0,12.0
stimuli/inverted_faces/F12.png,stimuli/inverted_faces/F12.png,stimuli/inverted_faces/F12morph.png,1,1.0,0.0,0.0,0.0,0.14399470388889313,0.14399470388889313,0.0,'left',888.4605102539062,888.4605102539062,0.0,26.0
