Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s)
1,1,Condition 3,False,,0.11527798899624031,0.5172769740020158
1,2,Condition 3,False,,0.7282736959896283,1.1307473579945508
1,3,Condition 3,False,,1.3381136169919046,1.74034217899316
1,4,Condition 3,False,,1.9495779599965317,2.3519198759895517
1,5,Condition 3,True,,2.559944116001134,2.962164495998877
1,6,Condition 3,False,,3.1721186169888824,3.5742737219989067
1,7,Condition 3,False,,3.7814138459943933,4.183205124994856
1,8,Condition 3,False,,4.392599591999897,4.7942575799970655
1,9,Condition 3,False,,5.002116703995853,5.403822362990468
1,10,Condition 3,False,,5.613179840991506,6.015396406990476
1,11,Condition 3,False,,6.222749953987659,6.624899679998634
1,12,Condition 3,False,,6.834358293999685,7.236137614992913
1,13,Condition 3,False,,7.44333151698811,7.844849130997318
1,14,Condition 3,False,,8.053205827993224,8.45547310699476
1,15,Condition 3,False,,8.663015444995835,9.065281759991194
1,16,Condition 3,False,,9.274509000999387,9.676883458989323
1,17,Condition 3,True,,9.884972557993024,10.287221556995064
1,18,Condition 3,False,,10.49656746799883,10.898186883001472
1,19,Condition 3,False,,11.105979421001393,11.507504440989578
1,20,Condition 3,False,,11.717874756999663,12.120105237001553
2,1,Condition 3,False,,22.33135874698928,22.733546297997236
2,2,Condition 3,False,,22.942665570997633,23.344928609993076
2,3,Condition 3,False,,23.55290731099376,23.955065707996255
2,4,Condition 3,False,,24.16445124799793,24.56648496699927
2,5,Condition 3,False,,24.774207828988438,25.176557803992182
2,6,Condition 3,False,,25.38621237099869,25.787940974987578
2,7,Condition 3,False,,25.995772485999623,26.397891201995662
2,8,Condition 3,False,,26.60711149100098,27.0087184360018
2,9,Condition 3,False,,27.21663524399628,27.618794210997294
2,10,Condition 3,False,,27.827371741994284,28.229643129001488
2,11,Condition 3,False,,28.437565632993937,28.839852598990547
2,12,Condition 3,False,,29.048834276996786,29.450519663994783
2,13,Condition 3,False,,29.658085317001678,30.06049061799422
2,14,Condition 3,False,,30.269706387000042,30.671824920995277
2,15,Condition 3,True,,30.879889823991107,31.282027142995503
2,16,Condition 3,False,,31.491309021992492,31.8929202779982
2,17,Condition 3,False,,32.10079046100145,32.503132589990855
2,18,Condition 3,False,,32.71208751699305,33.11441357000149
2,19,Condition 3,False,,33.321767478992115,33.72347263598931
2,20,Condition 3,False,,33.9433604980004,34.34549533500103
3,1,Condition 4,False,,44.56512300699251,44.96709434100194
3,2,Condition 4,False,,45.17700950699509,45.57863836099568
3,3,Condition 4,False,,45.78641778900055,46.188572304992704
3,4,Condition 4,False,,46.39816543599591,46.80027242799406
3,5,Condition 4,False,,47.008587085001636,47.41111939300026
3,6,Condition 4,False,,47.619771205994766,48.02199797799403
3,7,Condition 4,False,,48.230506900988985,48.632032838999294
3,8,Condition 4,False,,48.84073797299061,49.24318162399868
3,9,Condition 4,False,,49.45138538700121,49.85382932898938
3,10,Condition 4,False,,50.06207617399923,50.464343781990465
3,11,Condition 4,False,,50.672450568992645,51.074737361996085
3,12,Condition 4,False,,51.28361312999914,51.68595199899573
3,13,Condition 4,False,,51.89349752299313,52.295156141000916
3,14,Condition 4,False,,52.504555565988994,52.90618573498796
3,15,Condition 4,False,,53.114772367000114,53.517142463999335
3,16,Condition 4,False,,53.72939435999433,54.131453592999605
3,17,Condition 4,False,,54.33898975398915,54.74188387198956
3,18,Condition 4,True,,54.950239514990244,55.35287721999339
3,19,Condition 4,False,,55.561412733994075,55.96351387898903
3,20,Condition 4,False,,56.17310642400116,56.57571325299796
4,1,Condition 4,True,,66.78597782598808,67.18758681599866
4,2,Condition 4,False,,67.39637825200043,67.79865065299964
4,3,Condition 4,False,,68.00619899999583,68.40875011999742
4,4,Condition 4,False,,68.61897548699926,69.02154017899011
4,5,Condition 4,True,,69.22916600600001,69.63134394299414
4,6,Condition 4,False,,69.84016154399433,70.2423004089942
4,7,Condition 4,False,,70.45003199898929,70.85220588899392
4,8,Condition 4,False,,71.06108398499782,71.4636258870014
4,9,Condition 4,False,,71.67211181299353,72.07366731300135
4,10,Condition 4,False,,72.28269245599222,72.6846818769991
4,11,Condition 4,False,,72.89301572699333,73.29508817500027
4,12,Condition 4,False,,73.50450254799216,73.90689901899896
4,13,Condition 4,False,,74.11523067898815,74.51748177799163
4,14,Condition 4,False,,74.72653596499003,75.12844871499692
4,15,Condition 4,False,,75.33503785799257,75.73714075899625
4,16,Condition 4,False,,75.94528237100167,76.34738377199392
4,17,Condition 4,False,,76.55524634099856,76.95687253199867
4,18,Condition 4,False,,77.17051655499381,77.5726944909984
4,19,Condition 4,True,,77.78056542099512,78.1850502390007
4,20,Condition 4,True,,78.39378429600038,78.79587607699796
5,1,Condition 1,False,,89.0106513339997,89.41324051399715
5,2,Condition 1,True,,89.62246312398929,90.02475236999453
5,3,Condition 1,True,,90.23309922098997,90.63536659599049
5,4,Condition 1,False,,90.84447779000038,91.24669213099696
5,5,Condition 1,False,,91.45435233198805,91.85615420799877
5,6,Condition 1,False,,92.06528242699278,92.46697053899697
5,7,Condition 1,False,,92.6741124419932,93.07559796598798
5,8,Condition 1,False,,93.28581693999877,93.68793825199828
5,9,Condition 1,False,,93.896067277994,94.29774979699869
5,10,Condition 1,False,,94.506913307996,94.90921346200048
5,11,Condition 1,False,,95.11732014198788,95.51936997698795
5,12,Condition 1,False,,95.72869516198989,96.13083916099276
5,13,Condition 1,False,,96.33842633198947,96.74056724998809
5,14,Condition 1,True,,96.95005438399676,97.3516863679979
5,15,Condition 1,False,,97.55939500099339,97.96146187199338
5,16,Condition 1,False,,98.17083773299237,98.57283104099042
5,17,Condition 1,False,,98.78140259798965,99.18349076699815
5,18,Condition 1,False,,99.39272509799048,99.79488565099018
5,19,Condition 1,False,,100.00218584499089,100.4044741409889
5,20,Condition 1,False,,100.613894737995,101.01616249998915
6,1,Condition 1,False,,111.22674390098837,111.62835256499238
6,2,Condition 1,False,,111.84418225899572,112.2464477839967
6,3,Condition 1,False,,112.45414018699375,112.85601593699539
6,4,Condition 1,False,,113.06620682199718,113.46854821799207
6,5,Condition 1,True,,113.67658610700164,114.07829357498849
6,6,Condition 1,False,,114.28781783000159,114.68940028799989
6,7,Condition 1,True,,114.8967413319915,115.29831645199738
6,8,Condition 1,False,,115.50677566499508,115.90894357099023
6,9,Condition 1,False,,116.11686925998947,116.51852459399379
6,10,Condition 1,False,,116.72658259399759,117.12902162400133
6,11,Condition 1,False,,117.33643860300072,117.73807196799316
6,12,Condition 1,False,,117.94822115699935,118.35085016599623
6,13,Condition 1,False,,118.5591750429885,118.96140637299686
6,14,Condition 1,False,,119.17021617598948,119.57240051399276
6,15,Condition 1,False,,119.78038862498943,120.18192070200166
6,16,Condition 1,False,,120.39104663199396,120.79328041199187
6,17,Condition 1,False,,121.00105944598909,121.40262330698897
6,18,Condition 1,True,,121.61096301299403,122.01328702399042
6,19,Condition 1,False,,122.22146812999563,122.62364312399586
6,20,Condition 1,False,,122.83337902599305,123.23556438699597
7,1,Condition 2,False,,133.44701088999864,133.84947579199797
7,2,Condition 2,False,,134.06006945698755,134.46243920100096
7,3,Condition 2,True,,134.67063973999757,135.07224778999807
7,4,Condition 2,False,,135.2815780289966,135.6837337899924
7,5,Condition 2,False,,135.8919109559938,136.29394497298927
7,6,Condition 2,False,,136.5031039530004,136.9053708519932
7,7,Condition 2,True,,137.1158758609963,137.5180935059907
7,8,Condition 2,False,,137.73450593098823,138.13728696899489
7,9,Condition 2,False,,138.345322854002,138.74741950999305
7,10,Condition 2,False,,138.95713230699766,139.35890558898973
7,11,Condition 2,True,,139.5669030049903,139.96921899198787
7,12,Condition 2,False,,140.1815829469997,140.58376825400046
7,13,Condition 2,False,,140.79259668799932,141.19474257600086
7,14,Condition 2,False,,141.40465240099002,141.80687259598926
7,15,Condition 2,False,,142.01433016399096,142.4164638939983
7,16,Condition 2,False,,142.6253755719954,143.0270250429894
7,17,Condition 2,False,,143.23558864099323,143.6379539999907
7,18,Condition 2,False,,143.8477303589898,144.24987617599254
7,19,Condition 2,False,,144.45755273199757,144.85960282498854
7,20,Condition 2,False,,145.06866191499284,145.4708659099997
8,1,Condition 4,False,,155.6821912739979,156.08393976499792
8,2,Condition 4,False,,156.29324413399445,156.69573425399722
8,3,Condition 4,False,,156.9035547759995,157.3059812309948
8,4,Condition 4,False,,157.51504407399625,157.91728794899245
8,5,Condition 4,True,,158.12496464500146,158.5271096059878
8,6,Condition 4,True,,158.73617925799044,159.1382965590019
8,7,Condition 4,False,,159.34597639300046,159.7482600779913
8,8,Condition 4,False,,159.95744275698962,160.36014281900134
8,9,Condition 4,False,,160.56835996499285,160.97134843798995
8,10,Condition 4,False,,161.18064771599893,161.5822873829893
8,11,Condition 4,False,,161.78880683900206,162.19125042000087
8,12,Condition 4,False,,162.4008749289933,162.80260788199666
8,13,Condition 4,False,,163.00993339599518,163.41158734599594
8,14,Condition 4,False,,163.62119137500122,164.02358716199524
8,15,Condition 4,False,,164.23194695499842,164.63435794699762
8,16,Condition 4,False,,164.84382527699927,165.24631517298985
8,17,Condition 4,False,,165.45532949999324,165.85752634800156
8,18,Condition 4,False,,166.0664052249922,166.46820166899124
8,19,Condition 4,False,,166.6757904440019,167.07739738599048
8,20,Condition 4,False,,167.28587381599937,167.68798767800035
9,1,Condition 3,False,,177.89920453599188,178.30099335499108
9,2,Condition 3,True,,178.50947245499992,178.9116471259913
9,3,Condition 3,False,,179.11936178899487,179.52165954199154
