Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s)
4,4,Condition 1,False,,68.60674065900002,69.00865666100026
4,5,Condition 1,False,,69.21776309100005,69.61915163900039
4,6,Condition 1,False,,69.8272191430001,70.23020718800035
4,7,Condition 1,True,70.83292553299998,70.43882358600013,70.84070248000035
4,8,Condition 1,True,71.50152187600042,71.04967026700024,71.45165315700024
4,9,Condition 1,False,,71.66014588899998,72.06229849900001
4,10,Condition 1,False,,72.27062103200024,72.67236167700003
4,11,Condition 1,False,,72.88297167200017,73.28484869000022
4,12,Condition 1,False,,73.492738078,73.89546543400002
4,13,Condition 1,False,,74.10413927700029,74.50606335200018
4,14,Condition 1,False,,74.71651550100023,75.11835817500014
4,15,Condition 1,False,,75.32790522700043,75.72978485500016
4,16,Condition 1,False,,75.93805719400007,76.33981508400029
4,17,Condition 1,False,,76.54851425700008,76.95029836600042
4,18,Condition 1,False,,77.1574788160001,77.56001154900014
4,19,Condition 1,False,,77.77037639300033,78.17192230900037
4,20,Condition 1,False,,78.38253270800033,78.784242748
5,1,Condition 3,False,,88.99765689500009,89.39992773700033
5,2,Condition 3,True,90.08492255500005,89.60809791200018,90.01035649300002
5,3,Condition 3,False,,90.21921489200031,90.62099312200007
5,4,Condition 3,False,,90.83049298000014,91.232326629
5,5,Condition 3,False,,91.44096666900032,91.84258145100011
5,6,Condition 3,True,92.50945600900013,92.05116965600018,92.45298769200008
5,7,Condition 3,False,,92.66144316999998,93.06335343700039
5,8,Condition 3,False,,93.27164012900039,93.67305194300025
5,9,Condition 3,False,,93.88215198000034,94.28376048400014
5,10,Condition 3,True,94.87848628500024,94.49124232200029,94.89316325200025
5,11,Condition 3,False,,95.10367612200025,95.50492806200009
5,12,Condition 3,False,,95.71266242000002,96.11466915100027
5,13,Condition 3,False,,96.322924221,96.72471443200038
5,14,Condition 3,False,,96.93586770400043,97.33739665800022
5,15,Condition 3,False,,97.54561095999998,97.9474367390003
5,16,Condition 3,False,,98.15508675700039,98.5569855470003
5,17,Condition 3,False,,98.76779763900004,99.169606423
5,18,Condition 3,True,99.83548091000011,99.37807893400031,99.78034583900035
5,19,Condition 3,False,,99.98942169700013,100.39131723400033
5,20,Condition 3,False,,100.6005228490003,101.00222184200038
6,1,Condition 3,False,,111.21531293700036,111.61665261600001
6,2,Condition 3,False,,111.82373128300014,112.2251222660002
6,3,Condition 3,False,,112.43604792800033,112.83799950100001
6,4,Condition 3,False,,113.04926666100027,113.45058517799998
6,5,Condition 3,False,,113.6592631970002,114.06199134799999
6,6,Condition 3,False,,114.2699790900001,114.67186831900017
6,7,Condition 3,False,,114.88191785400022,115.28365688300028
6,8,Condition 3,False,,115.49142921200018,115.89325686300026
6,9,Condition 3,False,,116.10559143300043,116.50787270500041
6,10,Condition 3,False,,116.71740002500019,117.11912826800017
6,11,Condition 3,False,,117.32792301200016,117.72943684100028
6,12,Condition 3,False,,117.93753672500043,118.33959452600038
6,13,Condition 3,False,,118.55133296400027,118.95315162400038
6,14,Condition 3,False,,119.16155947800007,119.56341577000012
6,15,Condition 3,False,,119.77217804400016,120.1739392290001
6,16,Condition 3,False,,120.38256263100038,120.784295251
6,17,Condition 3,True,121.43595012200012,120.99396786900024,121.39585179300002
6,18,Condition 3,False,,121.60425260600005,122.006047545
6,19,Condition 3,False,,122.21608383300008,122.61752463500034
6,20,Condition 3,False,,122.82518923400039,123.22922866800036
7,1,Condition 4,False,,133.4406634740003,133.84243997800013
7,2,Condition 4,False,,134.05030993900027,134.45173301500017
7,3,Condition 4,False,,134.66124304200002,135.0630897230003
7,4,Condition 4,False,,135.2701061040002,135.6718078670001
7,5,Condition 4,True,136.30165783400025,135.88183704400035,136.28357375700034
7,6,Condition 4,False,,136.49150398200027,136.8948541450004
