Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s),Stimulus Image
1,1,NSF,False,,0.13041631499072537,0.533305630000541,137a-NSF.jpg
1,2,NSF,True,,0.7484989840013441,1.1517600859951926,106a-NSF.jpg
1,3,NSF,False,,1.3648466579907108,1.7674573109979974,26a-NSF.jpg
1,4,NSF,False,,1.9819568199891364,2.3846257659897674,65a-NSF.jpg
1,5,NSF,False,,2.601147260997095,3.006012022990035,54a-NSF.jpg
1,6,NSF,False,,3.220562003989471,3.6236513969925,78-NSF.jpg
1,7,NSF,False,,3.840261086996179,4.243631031989935,19b-NSF.jpg
1,8,NSF,False,,4.455816194997169,4.858247693991871,68-NSF.jpg
1,9,NSF,False,,5.0713611529936315,5.474130367991165,64a-NSF.jpg
1,10,NSF,False,,5.686537525994936,6.089073112001643,105a-NSF.jpg
1,11,NSF,False,,6.301578241997049,6.704262218991062,35a-NSF.jpg
1,12,NSF,False,,6.927827745996183,7.329810315990471,31a-NSF.jpg
1,13,NSF,False,,7.54205475699564,7.944837898001424,72a-NSF.jpg
1,14,NSF,False,,8.158051902995794,8.560822757994174,57-NSF.jpg
1,15,NSF,False,,8.772412145000999,9.175660092994804,112-NSF.jpg
1,16,NSF,False,,9.39334077599051,9.795922138990136,4a-NSF.jpg
1,17,NSF,True,,10.00756279900088,10.410176908990252,25a-NSF.jpg
1,18,NSF,False,,10.623369249995449,11.025935590994777,51-NSF.jpg
1,19,NSF,False,,11.239302549001877,11.641890428989427,23a-NSF.jpg
1,20,NSF,False,,11.856065138999838,12.258652976990561,34a-NSF.jpg
2,1,HSF,False,,12.471605617989553,12.874103666996234,137a-HSF.jpg
2,2,HSF,False,,13.090563089994248,13.493290107988287,106a-HSF.jpg
2,3,HSF,False,,13.713114788988605,14.116521906995331,26a-HSF.jpg
2,4,HSF,False,,14.343703576989355,14.747491381989676,65a-HSF.jpg
2,5,HSF,False,,14.959221017998061,15.366341462999117,54a-HSF.jpg
2,6,HSF,False,,15.580207109989715,15.984388747994672,78-HSF.jpg
2,7,HSF,False,,16.196054266998544,16.59795607998967,19b-HSF.jpg
2,8,HSF,False,,16.8123952219903,17.216426308994414,68-HSF.jpg
2,9,HSF,True,,17.428191844999674,17.8301404179947,64a-HSF.jpg
2,10,HSF,False,,18.044286175994785,18.446937385000638,105a-HSF.jpg
2,11,HSF,False,,18.663215209991904,19.06616105599096,35a-HSF.jpg
2,12,HSF,False,,19.28072542299924,19.68415056099184,31a-HSF.jpg
2,13,HSF,False,,19.895698016000097,20.298269979000906,72a-HSF.jpg
2,14,HSF,False,,20.511128157988423,20.913900982995983,57-HSF.jpg
2,15,HSF,True,,21.13045472599333,21.533084857001086,112-HSF.jpg
2,16,HSF,False,,21.74616260699986,22.148835193991545,4a-HSF.jpg
2,17,HSF,True,,22.361433949001366,22.76433276500029,25a-HSF.jpg
2,18,HSF,False,,22.980638455992448,23.383369133996894,51-HSF.jpg
2,19,HSF,False,,23.596228369002347,23.998740565992193,23a-HSF.jpg
2,20,HSF,False,,24.212113451998448,24.614693666997482,34a-HSF.jpg
3,1,NSF,False,,24.825140815999475,25.227848418988287,137a-NSF.jpg
3,2,NSF,False,,25.439976843001205,25.842978285989375,106a-NSF.jpg
3,3,NSF,True,,26.0536780370021,26.456357687988202,26a-NSF.jpg
3,4,NSF,False,,26.66956623698934,27.073928722995333,65a-NSF.jpg
3,5,NSF,True,,27.286202755989507,27.68833828199422,54a-NSF.jpg
3,6,NSF,False,,27.89991290899343,28.302415332000237,78-NSF.jpg
3,7,NSF,False,,28.513352893991396,28.915796115994453,19b-NSF.jpg
3,8,NSF,False,,29.12768763799977,29.530115604997263,68-NSF.jpg
3,9,NSF,False,,29.741089957999066,30.14301129699743,64a-NSF.jpg
3,10,NSF,False,,30.3557722849946,30.75845053300145,105a-NSF.jpg
3,11,NSF,False,,30.969351865991484,31.371807696996257,35a-NSF.jpg
3,12,NSF,False,,31.583637634001207,31.986313364992384,31a-NSF.jpg
3,13,NSF,False,,32.19733938899299,32.599817238995456,72a-NSF.jpg
3,14,NSF,False,,32.811755623988574,33.214618813988636,57-NSF.jpg
3,15,NSF,False,,33.425289803999476,33.8279834749992,112-NSF.jpg
3,16,NSF,False,,34.039544829996885,34.442401722000795,4a-NSF.jpg
3,17,NSF,False,,34.652921171000344,35.055904120992636,25a-NSF.jpg
3,18,NSF,False,,35.26802244500141,35.67082702899643,51-NSF.jpg
3,19,NSF,False,,35.881589714001166,36.28438152599847,23a-NSF.jpg
3,20,NSF,False,,36.49614680800005,36.89862136000011,34a-NSF.jpg
4,1,LSF,False,,37.110364280990325,37.51319359798799,137a-LSF.jpg
4,2,LSF,False,,37.726619118999224,38.129453029992874,106a-LSF.jpg
4,3,LSF,False,,38.34125489999133,38.74402984499466,26a-LSF.jpg
4,4,LSF,False,,38.957873314997414,39.36165484398953,65a-LSF.jpg
4,5,LSF,False,,39.5739315339888,39.97646561700094,54a-LSF.jpg
4,6,LSF,False,,40.18951526899764,40.59253661199182,78-LSF.jpg
4,7,LSF,False,,40.80431004500133,41.20691030599119,19b-LSF.jpg
4,8,LSF,False,,41.42030757199973,41.82284662099846,68-LSF.jpg
4,9,LSF,False,,42.03395767099573,42.436467452993384,64a-LSF.jpg
4,10,LSF,False,,42.64999507900211,43.05263550300151,105a-LSF.jpg
4,11,LSF,False,,43.26376270799665,43.66648508499202,35a-LSF.jpg
4,12,LSF,True,,43.87953741700039,44.282344170991564,31a-LSF.jpg
