Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s),Stimulus Image
1,1,NSF,False,,0.12608544499380514,0.5291161039931467,22-NSF.jpg
1,2,NSF,False,,0.7438560129958205,1.146418217002065,10-NSF.jpg
1,3,NSF,False,,1.3595928229915444,1.7622734129981836,11-NSF.jpg
1,4,NSF,False,,1.976675839003292,2.379452038992895,14-NSF.jpg
1,5,NSF,False,,2.5925153179996414,2.997173608993762,15-NSF.jpg
1,6,NSF,False,,3.2174506279989146,3.6199820269976044,1-NSF.jpg
1,7,NSF,False,,3.8327421249996405,4.235311536991503,3-NSF.jpg
1,8,NSF,False,,4.449346883004182,4.851965934998589,17-NSF.jpg
1,9,NSF,False,,5.064540040999418,5.467007029001252,21-NSF.jpg
1,10,NSF,False,,5.682545517003746,6.085410290994332,5-NSF.jpg
1,11,NSF,False,,6.297320458994363,6.700230540998746,26-NSF.jpg
1,12,NSF,False,,6.913918003992876,7.316534508005134,12-NSF.jpg
1,13,NSF,True,,7.528744155992172,7.931498737991205,29-NSF.jpg
1,14,NSF,False,,8.144671450994792,8.547255862999009,8-NSF.jpg
1,15,NSF,False,,8.760054140002467,9.161969961991417,20-NSF.jpg
1,16,NSF,False,,9.37663109699497,9.779310835001525,9-NSF.jpg
1,17,NSF,True,,9.995833323991974,10.399092243998894,13-NSF.jpg
1,18,NSF,False,,10.613029125001049,11.01581048699154,18-NSF.jpg
1,19,NSF,False,,11.229857130994787,11.632447612995747,2-NSF.jpg
1,20,NSF,False,,11.846164625996607,12.248755808002898,19-NSF.jpg
2,1,HSF,False,,12.467138102001627,12.869911214002059,22-HSF.jpg
2,2,HSF,False,,13.084062558991718,13.486689650002518,10-HSF.jpg
2,3,HSF,False,,13.700367388999439,14.103105845992104,11-HSF.jpg
2,4,HSF,False,,14.316471049998654,14.71918470899982,14-HSF.jpg
2,5,HSF,False,,14.928962766003679,15.33137389899639,15-HSF.jpg
2,6,HSF,False,,15.54625126600149,15.94917245299439,1-HSF.jpg
2,7,HSF,False,,16.161812791993725,16.564497542000026,3-HSF.jpg
2,8,HSF,False,,16.778655250993324,17.18134748999728,17-HSF.jpg
2,9,HSF,False,,17.391769972993643,17.794151641995995,21-HSF.jpg
2,10,HSF,False,,18.00726318100351,18.409795037005097,5-HSF.jpg
2,11,HSF,False,,18.621568642993225,19.02410210200469,26-HSF.jpg
2,12,HSF,False,,19.238020874996437,19.64071907599282,12-HSF.jpg
2,13,HSF,False,,19.852477220993023,20.255118642002344,29-HSF.jpg
2,14,HSF,False,,20.46894311599317,20.87151104900113,8-HSF.jpg
2,15,HSF,False,,21.08205488200474,21.48464302100183,20-HSF.jpg
2,16,HSF,False,,21.698073170002317,22.10063831199659,9-HSF.jpg
2,17,HSF,False,,22.31217896900489,22.71491786900151,13-HSF.jpg
2,18,HSF,False,,22.92858503300522,23.331394576001912,18-HSF.jpg
2,19,HSF,False,,23.543654786000843,23.94611880199227,2-HSF.jpg
2,20,HSF,True,,24.15987497899914,24.562512634991435,19-HSF.jpg
3,1,NSF,False,,24.773766640995746,25.176502155998605,22-NSF.jpg
3,2,NSF,False,,25.394546655996237,25.79744353800197,10-NSF.jpg
3,3,NSF,False,,26.007245111992233,26.40980823499558,11-NSF.jpg
3,4,NSF,False,,26.622370944998693,27.0252036699967,14-NSF.jpg
3,5,NSF,False,,27.23641640599817,27.639073186001042,15-NSF.jpg
3,6,NSF,False,,27.85250993000227,28.255233649993897,1-NSF.jpg
3,7,NSF,False,,28.465962661997764,28.868563135998556,3-NSF.jpg
3,8,NSF,False,,29.081808661998366,29.483825590999913,17-NSF.jpg
3,9,NSF,False,,29.694682243003626,30.09722920099739,21-NSF.jpg
3,10,NSF,False,,30.309972795002977,30.712767491000704,5-NSF.jpg
3,11,NSF,False,,30.92399204299727,31.327151342004072,26-NSF.jpg
3,12,NSF,True,,31.539382988994475,31.941930681001395,12-NSF.jpg
3,13,NSF,False,,32.15317849299754,32.56062801199732,29-NSF.jpg
3,14,NSF,False,,32.772755094003514,33.175304289005,8-NSF.jpg
3,15,NSF,False,,33.3857310339954,33.78896817099303,20-NSF.jpg
3,16,NSF,False,,34.000970049004536,34.40344881199417,9-NSF.jpg
3,17,NSF,False,,34.615873464994365,35.01908012200147,13-NSF.jpg
3,18,NSF,True,,35.231909362002625,35.63516244699713,18-NSF.jpg
3,19,NSF,False,,35.849539225004264,36.25243194500217,2-NSF.jpg
3,20,NSF,False,,36.46371859300416,36.86635080700216,19-NSF.jpg
4,1,LSF,True,,37.0778531160031,37.48028160700051,22-LSF.jpg
4,2,LSF,False,,37.694156358993496,38.096742085996084,10-LSF.jpg
4,3,LSF,False,,38.30789539900434,38.71057958000165,11-LSF.jpg
4,4,LSF,False,,38.92570403800346,39.32848794599704,14-LSF.jpg
4,5,LSF,False,,39.540888314004405,39.94363327199244,15-LSF.jpg
4,6,LSF,True,,40.15699069200491,40.56004215100256,1-LSF.jpg
4,7,LSF,True,,40.77488125600212,41.177334078005515,3-LSF.jpg
4,8,LSF,False,,41.38984047700069,41.79241269400518,17-LSF.jpg
4,9,LSF,False,,42.00424777199805,42.40674104899517,21-LSF.jpg
4,10,LSF,False,,42.6213079369918,43.02394833500148,5-LSF.jpg
4,11,LSF,False,,43.237454133995925,43.640279529005056,26-LSF.jpg
4,12,LSF,False,,43.852495560000534,44.25482259799901,12-LSF.jpg
4,13,LSF,False,,44.46608733800531,44.8687068260042,29-LSF.jpg
4,14,LSF,False,,45.081708518002415,45.48418465300347,8-LSF.jpg
4,15,LSF,False,,45.70217850500194,46.10592101399379,20-LSF.jpg
4,16,LSF,False,,46.32002215899411,46.72265685799357,9-LSF.jpg
4,17,LSF,False,,46.934142872996745,47.33685971099476,13-LSF.jpg
4,18,LSF,False,,47.54996752900479,47.952509394002846,18-LSF.jpg
4,19,LSF,False,,48.16396730199631,48.5658871600026,2-LSF.jpg
4,20,LSF,False,,48.77966776500398,49.182304269997985,19-LSF.jpg
5,1,HSF,False,,49.39285734700388,49.795315751995076,22-HSF.jpg
5,2,HSF,False,,50.00686875799147,50.40941166599805,10-HSF.jpg
5,3,HSF,False,,50.62041719000263,51.023141058001784,11-HSF.jpg
5,4,HSF,False,,51.23523201099306,51.637971032003406,14-HSF.jpg
5,5,HSF,False,,51.84849384399422,52.25044357399747,15-HSF.jpg
5,6,HSF,False,,52.462957180003286,52.86574600699532,1-HSF.jpg
5,7,HSF,False,,53.07928066900058,53.48113736600499,3-HSF.jpg
5,8,HSF,False,,53.69708629300294,54.09996716499154,17-HSF.jpg
5,9,HSF,True,,54.31079022800259,54.713518249991466,21-HSF.jpg
5,10,HSF,False,,54.92698689599638,55.32940373499878,5-HSF.jpg
5,11,HSF,False,,55.541590010994696,55.94418874499388,26-HSF.jpg
5,12,HSF,False,,56.15690899899346,56.55945935100317,12-HSF.jpg
5,13,HSF,False,,56.770175223995466,57.17278703600459,29-HSF.jpg
5,14,HSF,False,,57.38429530800204,57.78688036699896,8-HSF.jpg
5,15,HSF,True,,57.998650997004006,58.40085150700179,20-HSF.jpg
5,16,HSF,False,,58.613270957997884,59.01515415799804,9-HSF.jpg
5,17,HSF,False,,59.22621515199717,59.62882261699997,13-HSF.jpg
5,18,HSF,False,,59.84114173499984,60.24300151699572,18-HSF.jpg
5,19,HSF,False,,60.45399143399845,60.85584554099478,2-HSF.jpg
5,20,HSF,True,,61.067829527994036,61.470690508998814,19-HSF.jpg
6,1,LSF,True,,61.68158070699428,62.08399767099763,22-LSF.jpg
6,2,LSF,False,,62.29575819200545,62.697519747001934,10-LSF.jpg
6,3,LSF,False,,62.9087775759981,63.31064136599889,11-LSF.jpg
6,4,LSF,False,,63.524483774002874,63.92725120499381,14-LSF.jpg
6,5,LSF,False,,64.1404221529956,64.54284122800163,15-LSF.jpg
6,6,LSF,False,,64.75641606199497,65.15878367199912,1-LSF.jpg
6,7,LSF,True,,65.36966437200317,65.77143170099589,3-LSF.jpg
6,8,LSF,False,,65.98384717399313,66.38660202699248,17-LSF.jpg
6,9,LSF,True,,66.59769963899453,67.00009982699703,21-LSF.jpg
6,10,LSF,True,,67.21245755099517,67.61429807900277,5-LSF.jpg
6,11,LSF,False,,67.82548479999241,68.22730708899326,26-LSF.jpg
6,12,LSF,False,,68.43929217099503,68.84104504399875,12-LSF.jpg
6,13,LSF,False,,69.05229047799367,69.45395445100439,29-LSF.jpg
6,14,LSF,True,,69.66855215300166,70.07020952699531,8-LSF.jpg
6,15,LSF,False,,70.28129186099977,70.68308859500394,20-LSF.jpg
6,16,LSF,False,,70.89532397700532,71.29762376999133,9-LSF.jpg
6,17,LSF,False,,71.50881627800118,71.91064059299242,13-LSF.jpg
6,18,LSF,False,,72.12257240699546,72.52493291300198,18-LSF.jpg
6,19,LSF,False,,72.73624631699931,73.13865390900173,2-LSF.jpg
6,20,LSF,False,,73.35099847200036,73.75347736300319,19-LSF.jpg
7,1,LSF,False,,73.96487762199831,74.3672618290002,22-LSF.jpg
7,2,LSF,False,,74.57992330800334,74.98224919399945,10-LSF.jpg
7,3,LSF,True,,75.192725247005,75.59520054000313,11-LSF.jpg
7,4,LSF,False,,75.80721655600064,76.20896392999566,14-LSF.jpg
7,5,LSF,False,,76.42009867400338,76.82257910000044,15-LSF.jpg
7,6,LSF,False,,77.03405177299283,77.43587376199139,1-LSF.jpg
7,7,LSF,False,,77.64723931100161,78.04965847800486,3-LSF.jpg
7,8,LSF,False,,78.26205364199996,78.66374161500426,17-LSF.jpg
7,9,LSF,False,,78.8741600170033,79.27590347299702,21-LSF.jpg
7,10,LSF,True,,79.48781216199859,79.89049663799233,5-LSF.jpg
7,11,LSF,False,,80.10152230699896,80.50317423499655,26-LSF.jpg
7,12,LSF,False,,80.71541330299806,81.11720552499173,12-LSF.jpg
